Code_x,Description,Code_y
ASQ,"Austin, NV: Austin Airport",10383
ASR,"Kayseri, Turkey: Kayseri Airport",10384
AST,"Astoria/Seaside, OR: Astoria Regional",10385
ASU,"Asuncion, Paraguay: Silvio Pettirossi International",10386
ASW,"Aswan, Egypt: Aswan International",10387
ASX,"Ashland, WI: John F Kennedy Memorial",10388
ASY,"Ashley, ND: Ashley Municipal",10389
ATA,"Anta, Peru: Anta Huaraz",10390
ATB,"Atbara, Sudan: Atbara Airport",10391
ATC,"Arthur's Town, The Bahamas: Arthur's Town Airport",10392
ATE,"Antlers, OK: Antlers Municipal",10393
ATH,"Athens, Greece: Eleftherios Venizelos International",10394
ATI,"Artigas, Uruguay: Artigas International",10395
ATK,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial",10396
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",10397
ATM,"Altamira, Brazil: Altamira Airport",10398
ATN,"Namatanai, Papua New Guinea: Namatanai Airport",10399
ATO,"Athens, OH: Ohio University",10400
ATP,"Aitape, Papua New Guinea: Aitape Airport",10401
ATQ,"Amritsar, India: Amritsar International",10402
ATR,"Atar, Mauritania: Atar Airport",10403
ATS,"Artesia, NM: Artesia Municipal",10404
ATT,"Atmautluak, AK: Atmautluak Airport",10405
ATU,"Attu, AK: Casco Cove CGS",10406
ATV,"Ati, Chad: Ati Airport",10407
ATW,"Appleton, WI: Appleton International",10408
ATY,"Watertown, SD: Watertown Regional",10409
ATZ,"Assiut, Egypt: Assiut Airport",10410
AU1,"Weipa, Australia: Scherger",16465
AUA,"Aruba, Aruba: Reina Beatrix International",10411
